Rep,Total_uJ,Function,Percent,Func_uJ
1,89887405.0,,439.51999999988493,395073122.45589656
1,89887405.0,_int_malloc,3.98,3577518.719
1,89887405.0,rb_id_table_lookup,1.09,979772.7145
1,89887405.0,memmove,0.4,359549.62
2,1609066.0,PHASE_TOTAL,100,1609066.0
3,1113522.0,PHASE_TOTAL,100,1113522.0
4,1333615.0,PHASE_TOTAL,100,1333615.0
5,2056330.0,PHASE_TOTAL,100,2056330.0
6,1543514.0,PHASE_TOTAL,100,1543514.0
7,1568782.0,PHASE_TOTAL,100,1568782.0
8,1556270.0,PHASE_TOTAL,100,1556270.0
9,2317743.0,PHASE_TOTAL,100,2317743.0
10,1157468.0,PHASE_TOTAL,100,1157468.0
11,1301083.0,PHASE_TOTAL,100,1301083.0
12,1304195.0,PHASE_TOTAL,100,1304195.0
13,1026120.0,PHASE_TOTAL,100,1026120.0
14,992124.0,PHASE_TOTAL,100,992124.0
15,1054319.0,PHASE_TOTAL,100,1054319.0
16,1216306.0,PHASE_TOTAL,100,1216306.0
17,1183835.0,PHASE_TOTAL,100,1183835.0
18,1206234.0,PHASE_TOTAL,100,1206234.0
19,1265804.0,PHASE_TOTAL,100,1265804.0
20,994138.0,PHASE_TOTAL,100,994138.0
21,1009030.0,PHASE_TOTAL,100,1009030.0
22,1249630.0,PHASE_TOTAL,100,1249630.0
23,1037961.0,PHASE_TOTAL,100,1037961.0
24,1135067.0,PHASE_TOTAL,100,1135067.0
25,1198117.0,PHASE_TOTAL,100,1198117.0
26,1155576.0,PHASE_TOTAL,100,1155576.0
27,1038572.0,PHASE_TOTAL,100,1038572.0
28,1112241.0,PHASE_TOTAL,100,1112241.0
29,1034482.0,PHASE_TOTAL,100,1034482.0
30,1083372.0,PHASE_TOTAL,100,1083372.0
