Rep,Total_uJ,Function,Percent,Func_uJ
1,16903155.0,rb_gc_writebarrier,1.9202239762546158,324578.4350534809
1,16903155.0,rb_st_lookup,1.2144362173761274,205278.03619922374
1,16903155.0,rb_hash_aset,0.015430756083033723,2608.284618387119
2,204040.0,PHASE_TOTAL,100,204040.0
3,173401.0,PHASE_TOTAL,100,173401.0
4,185669.0,PHASE_TOTAL,100,185669.0
5,154601.0,PHASE_TOTAL,100,154601.0
6,149169.0,PHASE_TOTAL,100,149169.0
7,153870.0,PHASE_TOTAL,100,153870.0
8,148803.0,PHASE_TOTAL,100,148803.0
9,150757.0,PHASE_TOTAL,100,150757.0
10,179321.0,PHASE_TOTAL,100,179321.0
11,170470.0,PHASE_TOTAL,100,170470.0
12,170410.0,PHASE_TOTAL,100,170410.0
13,337218.0,PHASE_TOTAL,100,337218.0
14,141785.0,PHASE_TOTAL,100,141785.0
15,206176.0,PHASE_TOTAL,100,206176.0
16,167419.0,PHASE_TOTAL,100,167419.0
17,142273.0,PHASE_TOTAL,100,142273.0
18,275939.0,PHASE_TOTAL,100,275939.0
19,254638.0,PHASE_TOTAL,100,254638.0
20,253478.0,PHASE_TOTAL,100,253478.0
21,212524.0,PHASE_TOTAL,100,212524.0
22,225402.0,PHASE_TOTAL,100,225402.0
23,491393.0,PHASE_TOTAL,100,491393.0
24,489318.0,PHASE_TOTAL,100,489318.0
25,587461.0,PHASE_TOTAL,100,587461.0
26,544127.0,PHASE_TOTAL,100,544127.0
27,464111.0,PHASE_TOTAL,100,464111.0
28,449095.0,PHASE_TOTAL,100,449095.0
29,342834.0,PHASE_TOTAL,100,342834.0
30,325499.0,PHASE_TOTAL,100,325499.0
