Rep,Total_uJ,Function,Percent,Func_uJ
1,83419342.0,,433.3999999998839,361539428.2279031
1,83419342.0,_int_malloc,3.74,3119883.3908
1,83419342.0,rb_id_table_lookup,0.43,358703.1706
1,83419342.0,memmove,0.36000000000000004,300309.6312
2,1404477.0,PHASE_TOTAL,100,1404477.0
3,1088926.0,PHASE_TOTAL,100,1088926.0
4,1202267.0,PHASE_TOTAL,100,1202267.0
5,1080198.0,PHASE_TOTAL,100,1080198.0
6,1269223.0,PHASE_TOTAL,100,1269223.0
7,1062742.0,PHASE_TOTAL,100,1062742.0
8,1354000.0,PHASE_TOTAL,100,1354000.0
9,1352230.0,PHASE_TOTAL,100,1352230.0
10,1071348.0,PHASE_TOTAL,100,1071348.0
11,1071164.0,PHASE_TOTAL,100,1071164.0
12,1089536.0,PHASE_TOTAL,100,1089536.0
13,1083859.0,PHASE_TOTAL,100,1083859.0
14,1065366.0,PHASE_TOTAL,100,1065366.0
15,1050778.0,PHASE_TOTAL,100,1050778.0
16,1054014.0,PHASE_TOTAL,100,1054014.0
17,988034.0,PHASE_TOTAL,100,988034.0
18,1239621.0,PHASE_TOTAL,100,1239621.0
19,983273.0,PHASE_TOTAL,100,983273.0
20,1258297.0,PHASE_TOTAL,100,1258297.0
21,1057004.0,PHASE_TOTAL,100,1057004.0
22,1072140.0,PHASE_TOTAL,100,1072140.0
23,1505367.0,PHASE_TOTAL,100,1505367.0
24,1693171.0,PHASE_TOTAL,100,1693171.0
25,2362177.0,PHASE_TOTAL,100,2362177.0
26,1128781.0,PHASE_TOTAL,100,1128781.0
27,1431393.0,PHASE_TOTAL,100,1431393.0
28,2123957.0,PHASE_TOTAL,100,2123957.0
29,1997065.0,PHASE_TOTAL,100,1997065.0
30,2123408.0,PHASE_TOTAL,100,2123408.0
