Rep,Total_uJ,Function,Percent,Func_uJ
1,16608478.0,rb_gc_writebarrier,1.9195566350458413,318809.1414291288
1,16608478.0,rb_st_lookup,1.2140141607081008,201629.27479808955
1,16608478.0,rb_hash_aset,0.015425393386002496,2561.9230669276794
2,212402.0,PHASE_TOTAL,100,212402.0
3,226013.0,PHASE_TOTAL,100,226013.0
4,223998.0,PHASE_TOTAL,100,223998.0
5,214172.0,PHASE_TOTAL,100,214172.0
6,211059.0,PHASE_TOTAL,100,211059.0
7,234314.0,PHASE_TOTAL,100,234314.0
8,193358.0,PHASE_TOTAL,100,193358.0
9,192200.0,PHASE_TOTAL,100,192200.0
10,220946.0,PHASE_TOTAL,100,220946.0
11,164856.0,PHASE_TOTAL,100,164856.0
12,150390.0,PHASE_TOTAL,100,150390.0
13,178711.0,PHASE_TOTAL,100,178711.0
14,177124.0,PHASE_TOTAL,100,177124.0
15,181518.0,PHASE_TOTAL,100,181518.0
16,180481.0,PHASE_TOTAL,100,180481.0
17,186278.0,PHASE_TOTAL,100,186278.0
18,185668.0,PHASE_TOTAL,100,185668.0
19,187012.0,PHASE_TOTAL,100,187012.0
20,181762.0,PHASE_TOTAL,100,181762.0
21,170104.0,PHASE_TOTAL,100,170104.0
22,227112.0,PHASE_TOTAL,100,227112.0
23,212218.0,PHASE_TOTAL,100,212218.0
24,161316.0,PHASE_TOTAL,100,161316.0
25,158996.0,PHASE_TOTAL,100,158996.0
26,162292.0,PHASE_TOTAL,100,162292.0
27,180298.0,PHASE_TOTAL,100,180298.0
28,252257.0,PHASE_TOTAL,100,252257.0
29,192260.0,PHASE_TOTAL,100,192260.0
30,260680.0,PHASE_TOTAL,100,260680.0
